SED_File,red,blue,green,black,Material_Label
2021_Aug_31_SR-3501_SN19387Q4__00585.sed,57.3739699829853,37.67037209820444,41.73720638456104,110.18306453661344,3
2021_Aug_31_SR-3501_SN19387Q4__00654.sed,58.90343393916511,38.63859068239407,42.78575905252542,112.79712011133549,3
2021_Sep_01_SR-3501_SN19387Q4__00183.sed,59.46828738100847,39.092641003891856,43.29822463531343,114.46433106805178,4
2021_Sep_01_SR-3501_SN19387Q4__00727.sed,57.93359329632723,37.401679967559105,41.865321907276076,110.04440661412673,6
2021_Sep_01_SR-3501_SN19387Q4__00140.sed,59.70208438929433,39.204440089255755,43.41750574241884,114.7848923686004,4
2021_Aug_30_SR-3501_SN19387Q4__00185.sed,53.353399977090675,34.45167830472302,38.43031915509496,99.28708559353203,1
2021_Aug_31_SR-3501_SN19387Q4__00397.sed,59.68332907474142,39.22782575146111,43.43984891536677,114.86276548277635,0
2021_Sep_01_SR-3501_SN19387Q4__00060.sed,59.6322971259263,39.19093590457659,43.40286345231114,114.76475156570942,4
2021_Aug_30_SR-3501_SN19387Q4__00105.sed,59.11333350631646,38.5870756314651,42.81316814893479,112.92117527573131,1
2021_Sep_01_SR-3501_SN19387Q4__00610.sed,55.53632251401591,36.228105205622455,40.27020430477744,106.40333399848956,5
2021_Sep_01_SR-3501_SN19387Q4__00824.sed,59.23618020638751,38.658863128950074,42.912734186328805,113.21863647070577,6
2021_Sep_01_SR-3501_SN19387Q4__00791.sed,58.743324900022216,38.169974180620336,42.5166200554994,111.88899334669226,6
2021_Sep_01_SR-3501_SN19387Q4__00093.sed,59.64797804654174,39.193448341385164,43.40795835415321,114.74680782317465,4
2021_Aug_30_SR-3501_SN19387Q4__00151.sed,49.3654582181326,31.603166492845183,35.52140146318293,91.21174039853031,1
2021_Sep_01_SR-3501_SN19387Q4__00298.sed,59.54584308903851,39.135954951642844,43.353309661174166,114.581805780085,4
2021_Sep_01_SR-3501_SN19387Q4__00514.sed,55.85320951705221,36.520230986993376,40.50838444134165,106.66901644996751,5
2021_Aug_30_SR-3501_SN19387Q4__00199.sed,55.74362549384725,36.08772199859801,40.09939784062507,104.38944351350369,1
2021_Aug_30_SR-3501_SN19387Q4__00180.sed,52.858133165990665,34.11846134143494,38.08702748295944,98.29414001599996,1
2021_Aug_31_SR-3501_SN19387Q4__00502.sed,57.81718758416958,37.97900866854684,42.071210553841425,110.79239048340807,3
2021_Aug_31_SR-3501_SN19387Q4__00627.sed,58.34937311588186,38.31548614181545,42.44117130101026,111.79144868777806,3
2021_Sep_01_SR-3501_SN19387Q4__00044.sed,59.62837506808068,39.18895685617356,43.40009198585493,114.77084429366462,4
2021_Sep_01_SR-3501_SN19387Q4__00544.sed,56.87043359322635,37.216051915501154,41.25763466763706,108.38961164361446,5
2021_Aug_31_SR-3501_SN19387Q4__00583.sed,57.37257311679881,37.66898505548086,41.7361538661728,110.18005140605825,3
2021_Sep_01_SR-3501_SN19387Q4__00081.sed,59.64371876110046,39.194850521907796,43.40803925154641,114.75528491022229,4
