Sample,red,green,blue,black,N1,N2,N3,N4,Material
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,59.67848109440085,43.44188259813643,39.23040027136275,114.858242354992,8.551615571484128,8.21445974808454,8.219128988420586,7.109451773199304,0.0
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,47.0307125435332,34.14277330608858,31.124405915053714,86.45333612478811,6.357544948205614,5.97031448537284,5.82696757615972,4.888293688538073,6.0
1021,45.333992405458716,32.56543935545532,29.081585360119032,85.25086324545893,6.28576046952853,6.043545554836353,6.02766305955301,5.1336797406422185,8.0
576,43.15091535732638,31.05640812925035,27.79188511329265,81.81043047921632,6.036602910419509,5.829799176103261,5.853609849245111,4.990607244527487,2.0
761,53.383028306894076,38.96107144865506,35.52719672995858,104.03099439707805,7.698155096893144,7.473972221318614,7.59910969063051,6.544371987058327,7.0
2021_Aug_31_SR-3501_SN19387Q4__00102.sed,55.17365254264465,39.64583967114925,36.28894169699066,103.36419777010272,7.655135260405995,7.192980749819832,7.129033521826845,6.007806920522377,2.0
aug_3.0_2b89533b,57.9234546516807,42.127565151711934,38.03193692228448,110.80026351315226,8.236639359701632,7.8948085245003,7.880392807498639,6.791007323938495,3.0
3523,59.43135401941683,43.26374896143875,39.08216366150687,114.37261932370554,8.513919418089493,8.178186417595372,8.182691537872822,7.076784965834855,9.0
2021_Sep_01_SR-3501_SN19387Q4__00384.sed,56.698072641556266,41.13305457663268,37.036776213683325,108.51749377803725,8.061705538453065,7.748888155352587,7.74691057572141,6.674817470636756,5.0
3866,56.79719256745364,41.38790464702632,37.58956696409247,109.46600709601628,8.123534283733067,7.8124771227015355,7.857485039875436,6.769691764420595,2.0
aug_3.0_fa0a66b8,57.855938645575904,42.106435038622564,38.01062786099393,110.96753316798504,8.249885385654167,7.919632582481497,7.920638243970773,6.835315228505566,3.0
2072,35.006508544970416,25.418128197851605,23.83478883590666,68.74668664338611,4.98859245188118,4.909726319261093,5.122691428027261,4.312725115700114,8.0
2021_Aug_31_SR-3501_SN19387Q4__00473.sed,57.1449232559384,41.57422412667899,37.5217592931001,109.70483282640697,8.15769194320357,7.8352115766436965,7.83868356472629,6.769113787874551,3.0
1467,57.14427001682567,41.685936866319814,37.888331000925014,110.16549585067541,8.177838656532884,7.860493777818339,7.903502701019396,6.810971159851227,2.0
aug_0.0_e8471688,59.67159615258362,43.43693837668164,39.22618917734229,114.84858236242935,8.550982657268843,8.213920305740501,8.218611717538554,7.109185747564795,0.0
3092,51.422936930997935,37.16988367515451,33.23385117816844,95.92247806374269,7.068098948313299,6.758271986982235,6.713658156032492,5.694249522344666,8.0
2021_Aug_31_SR-3501_SN19387Q4__00010.sed,42.23483335014437,30.885347085465916,28.695784104576163,81.17814205510933,5.977007219177957,5.714913420937796,5.72627551669226,4.89790538388006,2.0
718,48.034596029904954,34.762455714924556,32.03499683189844,94.55903168286001,6.97833446975771,6.827062435532178,7.008342359959137,5.9925499032016765,7.0
1115,56.714812939453914,41.258330127399525,37.26975668142519,109.04054834316779,8.11096285287003,7.794341635985037,7.7945891721214755,6.736260737951717,9.0
46,25.702909590902667,19.152289464743042,18.178264423740796,52.2805582849302,3.914821125768194,3.781127692435461,3.8292070496552104,3.3783935230970723,7.0
2021_Sep_01_SR-3501_SN19387Q4__00709.sed,20.408714887508722,14.931709648265183,14.282013714199376,38.26669957908267,2.7283840005187407,2.5983408171469637,2.597910062502312,2.1570976584444277,6.0
4759,59.24001204679905,43.09774931749055,38.9061141823353,113.83703605044965,8.471924864917026,8.134648803131778,8.136033699792826,7.0304105606249925,9.0
341,13.255471182482005,9.546550182841749,8.352780944250846,24.39223484533835,1.7571931704474892,1.7277422088511156,1.7113415121555549,1.4587792907558421,2.0
2021_Aug_30_SR-3501_SN19387Q4__00338.sed,56.11565114597973,40.35368982186002,36.49925302726707,105.26020629790293,7.803243257355435,7.386268066941415,7.327917657536482,6.211462773599562,1.0
2021_Sep_01_SR-3501_SN19387Q4__00644.sed,57.080055499189406,41.45344375142434,37.33574274848834,108.97934541755954,8.08762058119274,7.770359381770341,7.7536837041075275,6.676982224570822,5.0
2021_Aug_31_SR-3501_SN19387Q4__00170.sed,49.52109933092632,36.28636117061315,33.225935268992615,93.78594056889621,6.927425252264445,6.5922054149630975,6.538189674483249,5.585482243502375,2.0
2540,58.548823963795556,42.56418616238642,38.35224052875469,112.2807532157648,8.350749685793454,8.019588899375464,8.022411151098334,6.924949842435409,7.0
2021_Sep_01_SR-3501_SN19387Q4__00816.sed,59.18554697071557,42.87040880655674,38.60254770575389,113.04118902244926,8.40237140774746,8.054810369016254,8.049678466855529,6.924462423740257,6.0
1964,57.3817201168572,41.6394015180921,37.42303441517243,109.52841594956487,8.133893067513391,7.80855417808203,7.80830056355445,6.720532824517883,7.0
