Wavelength (nm),Responsivity
589,0.06587413283544397
590,0.06953745822337888
591,0.07367434631302532
592,0.07835519514608524
593,0.08366327805378379
594,0.08969711145241535
595,0.09657311129257384
596,0.10442842302510605
597,0.11342365178785976
598,0.12374493477497456
599,0.13560430301027962
600,0.14923645126520532
601,0.16330740322140327
602,0.17916105509563127
603,0.19691206487615584
604,0.21658970888080314
605,0.23807289917968463
606,0.2610028986702646
607,0.2846816857205548
608,0.307981962328285
609,0.3293199464969515
610,0.3467608188658509
611,0.3583100286772426
612,0.3623645060280084
613,0.35817593127714087
614,0.34610648740398664
615,0.3275324077900956
616,0.3044439200024086
617,0.27894581689686954
618,0.25286460143483025
619,0.2275540525935129
620,0.20387583994619246
621,0.18228113476214863
622,0.16292496386212227
623,0.1457724611487721
624,0.13068093218173962
625,0.11745629468394772
626,0.10588858019341058
627,0.09577243617416943
628,0.08691775872719834
629,0.07915424422362949
630,0.07233241920575156
631,0.06632277653041212
632,0.061014004889839414
633,0.05631088348525236
634,0.05213215561968096
635,0.04840854023000249
636,0.045080950703581396
637,0.04209894043414183
638,0.03941936838089049
639,0.03700526545680894
640,0.03482487786663501
641,0.03285086296957216
642,0.031059614778529518
643,0.029430698648155274
644,0.027946377402260608
645,0.02659121377231166
646,0.0253517364049178
647,0.024216158788881142
648,0.02317414224518061
649,0.022216595636163645
650,0.02133550571422204
651,0.020542333636974545
652,0.01981108200319211
653,0.019136293954736486
654,0.01851312282269586
655,0.01793725552953006
656,0.017404846924851086
657,0.016912463351925786
658,0.016457034029927212
659,0.01603580907313518
660,0.015646323162491406
661,0.015286364045039868
662,0.014953945169168105
663,0.014647281873320907
664,0.014364770637112924
665,0.014104970979863367
666,0.01386658965521963
667,0.013648466843935794
668,0.013449564091820344
669,0.013268953777833275
670,0.013105809929506773
671,0.01295940023026904
672,0.012829079086696843
673,0.012714281643880594
674,0.012614518654529464
675,0.012529372122644789
676,0.012458491655953155
677,0.012401591473156767
678,0.012358448022724445
679,0.0123288981796719
680,0.012312837995793377
681,0.012310221987318366
682,0.012321062952174142
683,0.012345432317120214
684,0.012383461023176261
685,0.012435340966171667
686,0.012501327018109711
687,0.012581739664571967
688,0.012676968303830805
689,0.012787475264963464
690,0.012913800615380704
691,0.013056567843170358
692,0.013216490516944653
693,0.013394380046004534
694,0.01359115468721749
695,0.013807849972839088
696,0.014045630766525903
697,0.01430580519416864
698,0.014589840743359892
699,0.014899382882096511
700,0.015236276615949767
701,0.015590475529905768
702,0.015973015249352133
703,0.016386080604325143
704,0.01683211022511862
705,0.017313829768810827
706,0.01783429047473541
707,0.018396914020648563
708,0.019005544853744505
709,0.019664511419996422
710,0.02037869802354867
711,0.02115362943035543
712,0.021995570806542426
713,0.02291164617721631
714,0.023909979338032575
715,0.024999862091476366
716,0.02619195586639418
717,0.027498534282394252
718,0.028933776130049015
719,0.030514120668857992
720,0.03225870024539609
721,0.03418986919132617
722,0.036333853008817224
723,0.03872154827393097
724,0.0413895118178254
725,0.044381187935567376
726,0.04774843493561217
727,0.05155342740024312
728,0.05587102768708542
729,0.06079173790754641
730,0.06642535785253685
731,0.0729054761004578
732,0.0803948920317029
733,0.08909196800489709
734,0.0992376703232531
735,0.1111225367719007
736,0.1250917562613997
737,0.14154452971260253
738,0.16092022418813873
739,0.18365768163707746
740,0.21010496112492913
741,0.24034683835234238
742,0.27391632286748113
743,0.30939025091671685
744,0.3439808188470164
745,0.3734396935464769
746,0.39274291896264707
747,0.3977399780937321
748,0.3870521333852235
749,0.36282560061716385
750,0.3296740601792785
751,0.2927519298351332
752,0.25612652556515964
753,0.2222390613882949
754,0.19220660482628543
755,0.16627097517884015
756,0.1441982884328603
757,0.12554832155795959
758,0.10982825292275755
759,0.09656880378094365
760,0.08535545384871734
761,0.07583628974243425
762,0.06771897068822313
763,0.060763443382142936
764,0.054773669282843516
765,0.04958982207653832
766,0.045081499269121736
767,0.04114205748027456
768,0.03768399307045489
769,0.03463522299589732
770,0.031936110309932916
771,0.02953709190656468
772,0.027396787190410006
773,0.025480488186813505
774,0.023758951250354904
775,0.022207427083866846
776,0.020804879242097164
777,0.019533352020074425
778,0.018377457070905785
779,0.017323954702040078
780,0.01636141094694137
781,0.015479915517518004
782,0.014670848865249343
783,0.013926689015240759
784,0.013240850742625047
785,0.012607551154766163
786,0.012021696918076176
787,0.011478789296059087
788,0.010974843900213086
789,0.010506322639854118
790,0.010070075823354948
791,0.009663292736943042
792,0.009283459327635501
793,0.008928321859356868
794,0.008595855607675347
795,0.00828423781824248
796,0.00799182428425053
797,0.007717129004828214
798,0.0074588064738536596
799,0.007215636220816243
800,0.006986509285006824
801,0.006778002510154825
802,0.006581070906955794
803,0.006394922102806423
804,0.00621883097345406
805,0.006052132996332084
806,0.00589421835431277
807,0.005744526695240582
808,0.005602542465753337
809,0.005467790749057121
810,0.005339833545816566
811,0.005218266445421794
812,0.0051027156418191255
813,0.004992835254027304
814,0.00488830491655797
815,0.004788827609345906
816,0.004694127700578693
817,0.004603949179084778
818,0.004518054055771337
819,0.004436220916059803
820,0.004358243607403256
821,0.00428393004782964
822,0.0042131011430781235
823,0.004145589801314196
824,0.004081240035651151
825,0.004019906145794953
826,0.003961451971086348
827,0.0039057502080558364
828,0.0038526817863496756
829,0.0038021352975393416
830,0.003754006471906606
831,0.0037081976988086063
832,0.003664617586681988
833,0.0036231805591489374
834,0.003583806484046729
835,0.003546420332522448
836,0.0035109518656193184
837,0.0034773353460360347
838,0.0034455092729682446
839,0.0034154161381454986
840,0.003387002201359776
841,0.0033602172839468335
842,0.003335014578829007
843,0.003311350475862041
844,0.0032891844013488306
845,0.003268478670692185
846,0.0032491983532570413
847,0.003231311148603053
848,0.003214787273329351
849,0.0031995993578483647
850,0.0031857223524732643
851,0.003172830560149574
852,0.0031610562636179926
853,0.003150382477102753
854,0.0031407937997965313
855,0.0031322763710684765
856,0.0031248178303854793
857,0.003118407281751167
858,0.003113035262489838
859,0.0031086937162252744
860,0.0031053759699252417
861,0.0031030767149028277
862,0.0031017919916850305
863,0.0031015191786778564
864,0.0031022569845755433
865,0.0031040054444790126
866,0.003106765919707107
867,0.0031105411013007157
868,0.003115335017238376
869,0.0031211530433990914
870,0.003128001918326362
871,0.003135889761865675
872,0.003144826097766888
873,0.0031548218803621178
874,0.0031658895254508836
875,0.003178042945545019
876,0.0031912975896489946
877,0.0032056704877749067
878,0.0032211803004172507
879,0.0032378473732393746
880,0.003255693797253272
881,0.003274743474805307
882,0.0032950221917149715
883,0.0033165576959500597
884,0.003339379783262074
885,0.0033635203902489053
886,0.003389013695359388
887,0.003415896228406247
888,0.0034442069892109176
889,0.0034739875760659567
890,0.0035052823247695626
891,0.0035381384590620767
892,0.003572606253378066
893,0.003608739208919128
894,0.003646594244154829
895,0.003686231900971688
896,0.0037277165678153844
897,0.0037711167213101845
898,0.003816505187994217
