Sample,red,green,blue,black,N1,N2,N3,N4,Material
4630,7.41985296269977,4.728568965372686,3.3790152627121124,44.400828754928554,5.885965177909171,5.827802048221984,5.337315195387661,4.149218698316708,2.0
5032,9.89202359177133,6.564805403755132,4.743551451206775,58.849245220239965,7.924548818948047,7.822886359533131,7.20976079944285,5.7143607393492895,9.0
aug_0.0_95e5e8d2,9.976341955040777,6.6209691407367774,4.780838687074294,59.321526692050426,7.993655693624399,7.887844495155424,7.2644735303804175,5.760799480063182,0.0
2021_Aug_30_SR-3501_SN19387Q4__00030.sed,9.423745447773884,6.109852549280228,4.376794179829311,56.052356449687274,7.496586046855885,7.402988863199953,6.80023849286534,5.336780919738482,1.0
aug_6.0_e166a68b,9.727335438052226,6.359930644136277,4.566707911061739,57.82749998972352,7.763332559645705,7.659093533116604,7.036020911419433,5.543127748243661,6.0
2021_Sep_01_SR-3501_SN19387Q4__00048.sed,9.966289094576592,6.6199941645220814,4.779030834908384,59.2239461217639,7.982662441044275,7.877384099337074,7.258870829974829,5.759223630796797,4.0
4376,9.90990596592751,6.5767184240470735,4.749099410267872,58.93614768530971,7.939173747843196,7.835334080996578,7.218406056346611,5.724105017943822,9.0
aug_6.0_b40f34ec,6.639365035403827,4.222390130255564,3.136254018741266,42.98981445623497,5.576525249815812,5.523870935134276,5.000508095945316,3.8515986528702064,6.0
2021_Aug_31_SR-3501_SN19387Q4__00261.sed,7.205915304127322,4.769271703429144,3.53825861227864,45.3136640029535,5.968015471469981,5.896169977981739,5.453276943025122,4.283156166725406,2.0
aug_1.0_9a9a44dc,9.723133932018868,6.349734458294343,4.579404829388645,57.94096810533196,7.780952390749034,7.665388701951651,7.030796776955848,5.534843804024226,1.0
aug_4.0_1ad08d39,9.96176165399988,6.6143420526041545,4.775190920700365,59.23552823994088,7.981254306780937,7.877097614020837,7.257086585924014,5.756073624906907,4.0
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,9.971435965762296,6.622832598016384,4.781625065878686,59.27682301753441,7.988156484621595,7.883376345688561,7.264441945702657,5.762757471704735,0.0
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,7.254954771087881,4.570972150999131,3.405006331225139,46.78866569971764,6.142830651107547,6.021901075206541,5.3552132195716045,4.11986811731428,6.0
1021,7.49856310486688,4.799567961064539,3.444861896223312,44.62007182936436,5.93398665234054,5.882943079339379,5.384770726629495,4.2053320583017255,8.0
576,7.21597419499417,4.662848512786921,3.3432510133097137,42.52222807038456,5.666726004364817,5.628705489065402,5.208311051375241,4.067357019246797,2.0
761,9.075232363541009,6.074264695717319,4.39871087378358,53.18699201135476,7.116011990612618,7.108531741908515,6.687589085443543,5.281135029626198,7.0
2021_Aug_31_SR-3501_SN19387Q4__00102.sed,8.89388364734454,5.65020083235656,4.205896971409682,54.65714239887664,7.310169843882962,7.089737331074711,6.405890555045311,4.958354286072828,2.0
aug_3.0_2b89533b,9.597351259184757,6.331460419498046,4.5786834028010714,57.50753395260723,7.724333875304527,7.619840310002019,6.9952890605963445,5.527621141294295,3.0
3523,9.926233933921031,6.591970906180675,4.761237998485076,59.037971733899354,7.953618476788792,7.849895494973539,7.2335543106292715,5.737645682726819,9.0
2021_Sep_01_SR-3501_SN19387Q4__00384.sed,9.456328224305135,6.227097437350963,4.487467004036529,56.182976140484854,7.549280412349267,7.458750665465507,6.8630981691638375,5.422853304170032,5.0
3866,9.488371956588583,6.298598256412214,4.569338765025622,56.52550731433756,7.578838941098711,7.498856308331507,6.956143891508844,5.498756541947052,2.0
aug_3.0_fa0a66b8,9.622069197583997,6.367633713908103,4.599128618050779,57.46307248735356,7.720927347249873,7.6228123591577965,7.022086722054208,5.5572350792270315,3.0
2072,6.044282465040514,3.986692744961127,2.9568426265466012,35.03158245208387,4.571777541513722,4.652527202977562,4.518228345662943,3.5006999564542824,8.0
2021_Aug_31_SR-3501_SN19387Q4__00473.sed,9.523951147804588,6.306223724455635,4.5524591251465,56.74385952067674,7.629490213223262,7.5331079727671675,6.941701535989862,5.498901689855465,3.0
1467,9.531305435496638,6.335756590773591,4.599468995921083,56.910004379686725,7.6304430570225765,7.548560081301253,6.999854843737078,5.533281096066158,2.0
