Sample,red,green,blue,black,N1,N2,N3,Material
2021_Aug_31_SR-3501_SN19387Q4__00183.sed,51.25352601814612,37.42231901333379,34.218587856789824,96.60321313242133,30.575116697758375,32.1182141820306,32.98932323475753,2.0
aug_0.0_98cfaf7a,59.707438478952696,43.459848850058904,39.2443905158852,114.88011415274063,36.28447591173777,37.93769647342211,38.87886946617757,0.0
2021_Sep_01_SR-3501_SN19387Q4__00444.sed,57.90103070796459,42.01165213910955,37.86704311054976,110.43041077831259,34.8461852712486,36.51027660014306,37.41078516153492,5.0
2445,59.46886960965442,43.28051936583084,39.083882844857825,114.41072422563326,36.130761266513375,37.778930123102626,38.72726122421866,9.0
2021_Aug_30_SR-3501_SN19387Q4__00321.sed,53.6764852394231,38.59398330141859,34.8274743573361,99.63286359525105,31.548638526806535,33.00045768100488,33.60545567405344,1.0
3720,57.74375573208377,41.905936768073346,37.67529817452095,110.20685067798844,34.74774193736093,36.40766431608138,37.39507950041539,7.0
2021_Aug_31_SR-3501_SN19387Q4__00388.sed,59.67961749772931,43.442440757572186,39.23031598181437,114.85428797742532,36.275335277310525,37.92602706333243,38.877687461391055,0.0
2985,48.81900816545512,35.64763947069646,33.0076984535483,95.04503619835315,29.61572631418118,31.290345069709993,33.12152874445405,8.0
aug_0.0_84c31495,58.72724432947852,42.7312985337702,38.579255720617184,113.06231202715254,35.718678533979855,37.32546167078928,38.23425812303421,0.0
2021_Aug_30_SR-3501_SN19387Q4__00074.sed,58.135503948239844,42.04124096807433,37.739461057242536,110.4174783308381,34.81829540491994,36.47198285639236,37.36517449376035,1.0
5256,57.82848456130263,42.04116939574173,37.89594143661584,110.74102540180128,34.938616098247046,36.579318046691114,37.584906414249005,2.0
4037,58.20498134382112,42.39132677553688,38.38504755113496,112.30645964230015,35.429921178643426,37.07774035655881,38.08170632045813,9.0
aug_0.0_2cbcd998,58.60401721673401,42.64309075895429,38.496527165653816,112.85763364793162,35.660685156314436,37.255594328095256,38.15506496641188,0.0
1844,59.637425701756584,43.399889826356855,39.17789463433776,114.71687355588725,36.22749119506098,37.881611675579165,38.826810589101605,9.0
859,48.19630746646294,34.84391860281055,31.067064237479315,89.72029959118629,28.085420422903844,29.739280787829554,31.060486688046396,8.0
4224,58.589333886277444,42.57026281273329,38.336242278654964,112.28942143713189,35.43098034712675,37.082510199959685,38.03672274095673,7.0
2021_Aug_31_SR-3501_SN19387Q4__00018.sed,43.47097543461241,31.867994698222947,29.581353887925893,83.0091940080682,26.032386717742092,27.409390913375255,28.952424268731505,2.0
2021_Sep_01_SR-3501_SN19387Q4__00607.sed,55.54808574618184,40.28254867300542,36.23888876466452,106.41185920841798,33.50567818628603,35.11476500484718,36.15191527840268,5.0
5200,58.31386898221562,42.38291961673223,38.19583520089292,111.63074182624452,35.22974867777656,36.88024413895529,37.845755761675115,2.0
3157,57.26694020001278,41.653525165465055,37.5596615310288,110.01823626342883,34.73119185982434,36.33947835936004,37.241046582773336,9.0
aug_3.0_3502fcdb,57.59577960528574,41.91393878842362,37.835935767109305,110.3001723878478,34.8095131684825,36.460042914923655,37.45813193082043,3.0
aug_0.0_995ee737,58.445490838865766,42.53174935273511,38.39948154690538,112.59584423094712,35.58435477097118,37.16581252823087,38.06275695713865,0.0
2021_Aug_31_SR-3501_SN19387Q4__00296.sed,50.989133680143965,37.24281052834385,34.04805113209119,96.04777038199823,30.404201090503264,31.946023957648798,32.81751353542473,2.0
789,46.969147343085424,34.14615835954072,31.216838654179746,92.59285376221428,28.86774350895823,30.412211821846775,31.85369810994005,2.0
2021_Sep_01_SR-3501_SN19387Q4__00864.sed,50.56417922173172,36.15287726845527,32.00061010595953,92.85151773261526,29.04402314559372,30.73343692176115,31.824054499430005,6.0
1334,46.06463487441408,33.602611515560326,30.95698845689823,88.79755403036074,27.708791833752947,29.25682163440152,30.871784433418924,8.0
aug_0.0_41c19326,59.764617161052655,43.484536943996446,39.26693729946351,114.95691789324317,36.30707920085069,37.95760476841018,38.894562968676205,0.0
1247,53.338016254182605,38.68788180128466,34.87174180791057,101.5523785145048,31.953140012019382,33.53793789527762,34.62735725432421,8.0
2946,51.893600399919016,38.01914142486915,35.040771815678255,102.57090822524059,31.985553784755858,33.73671042954457,35.5442408787359,2.0
5294,46.13429385785458,33.290926968398885,30.068763490753177,87.52106753852567,27.470752310788733,28.935041452061984,29.67439467115831,8.0
2021_Aug_31_SR-3501_SN19387Q4__00635.sed,58.42719108653617,42.49465691989627,38.36406108473672,111.9047037145958,35.342478373902836,36.986866110252706,37.90713238133441,3.0
2021_Aug_31_SR-3501_SN19387Q4__00248.sed,39.91225338281537,29.42641851299807,27.398440963147166,77.12330012663195,24.276685252893287,25.437294061779234,26.890707033222935,2.0
aug_6.0_d32d59e9,27.154334736923804,19.791502175579232,18.50334932948734,49.372528137722824,15.142590216050753,16.308172073725103,18.22021372006059,6.0
48,26.023526351614173,19.3796219207777,18.37216174202403,52.88339154556146,16.808724107436248,17.39774170868884,18.03404477306472,7.0
1269,56.61549912302273,41.1679535502425,37.17334050491098,108.7696466625184,34.323594726755985,35.93107471336897,36.81915719977479,9.0
2021_Aug_31_SR-3501_SN19387Q4__00695.sed,56.27807208924743,40.94764164420063,36.95393515480306,108.24198040605087,34.18429563808799,35.74408669387782,36.62519343387793,3.0
3526,59.38832352558566,43.22953709842948,39.04563108779193,114.2491412817196,36.07821568396913,37.72847292113531,38.68981910054393,9.0
2021_Sep_01_SR-3501_SN19387Q4__00517.sed,56.17992066469646,40.75729739068922,36.747432203761846,107.25524314182246,33.758212337440156,35.406626359141356,36.57112540829917,5.0
2842,57.969298855647196,42.174999923223396,38.18250228278483,111.39030867191845,35.10516221005371,36.773113340778565,37.85887098421032,7.0
aug_0.0_abed01dd,59.67048977566559,43.43583044040906,39.2247963516091,114.84477605499531,36.27247736483192,37.92164415185777,38.8747547518938,0.0
2201,48.949715259417374,35.83250499358435,32.984518950515955,96.71364218907354,30.181625821170762,31.825281865022497,33.40713577870488,2.0
2219,57.975257930495964,42.235447344456304,38.25112059114292,111.49927373651782,35.139196450668166,36.82801523544188,37.977222752909036,2.0
2021_Aug_30_SR-3501_SN19387Q4__00146.sed,48.60144852971462,34.93929193962022,31.036914470623426,89.58198444490407,28.024897098797155,29.67435594035326,30.938864747243684,1.0
