Sample,red,green,blue,black,N1,N2,N3,N4,Material
aug_6.0_e166a68b,11.53868921201478,8.33910992951291,5.893389048143479,131.42448201922284,9.41541070455349,9.000700865049971,8.637735856260042,7.063374458030221,6.0
2021_Sep_01_SR-3501_SN19387Q4__00048.sed,11.82904209166863,8.6901862743392,6.176081439263289,134.986319343135,9.701284542039575,9.282894235631094,8.9344929323175,7.357080536331426,4.0
4376,11.761479694975616,8.632744009831386,6.136956342856308,134.29282772498766,9.646954197473264,9.230951053969182,8.882122802658815,7.310108616138855,9.0
aug_6.0_b40f34ec,7.849017794921652,5.515588337330253,4.035147901281205,95.95409025046165,6.70505675530821,6.385344417115129,5.997885209550381,4.801408987585934,6.0
2021_Aug_31_SR-3501_SN19387Q4__00261.sed,8.537090079101919,6.254265733501209,4.57068765383793,102.20609950407942,7.2261588898465465,6.89374268280141,6.614975244385459,5.39448208692977,2.0
aug_1.0_9a9a44dc,11.531658683436476,8.32448848475078,5.909603525948302,131.6479022745882,9.433297955493305,9.004257073556339,8.6300242810368,7.050975560377953,1.0
aug_4.0_1ad08d39,11.823324433809562,8.682418642414511,6.170858305941844,134.98774623198386,9.698686030964934,9.280921883399976,8.930423234042026,7.35178026848535,4.0
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,11.835030313649629,8.693819322866183,6.179385023208557,135.09579155334796,9.707670805515665,9.289304756687134,8.940341645871548,7.36094518909122,0.0
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,8.56946809000541,5.965037281086887,4.376648601075888,104.48014278628854,7.371381719423074,6.947781038024589,6.444833240974213,5.150021799749075,6.0
1021,8.892199257280389,6.284055392996299,4.438064527600509,101.0834444276298,7.1813436175956795,6.88992086048861,6.590413168414635,5.3413316652125875,8.0
576,8.564605674252768,6.112126535617023,4.313053018322488,96.6266509421543,6.873188666933018,6.615623895563292,6.389215121530074,5.180748047005161,2.0
761,10.789319340754142,7.98761555456473,5.695516334712321,121.66889163847988,8.681811673073426,8.40862329714634,8.249386324889413,6.76118852450176,7.0
