Wavelength,Reflectance
978.0,0.03178
979.0,0.03205
980.0,0.03214
981.0,0.0321
982.0,0.0321
983.0,0.03214
984.0,0.0322
985.0,0.03227
986.0,0.03235
987.0,0.03246
988.0,0.03255
989.0,0.03267
990.0,0.03286
991.0,0.03289
992.0,0.03294
993.0,0.03299
994.0,0.03304
995.0,0.03308
996.0,0.03313
997.0,0.03318
998.0,0.03323
999.0,0.03326
1000.0,0.03329
