Sample,S1,S2,S3,S4,S5,S6,S7,S8,E12,Material
4455,8.411997534784184,8.969856411211413,8.665515460657312,8.89860386452217,9.655565431477283,9.320817379244389,8.294235756728977,6.78501635451965,131.50920147061788,2.0
1522,8.677255999116984,9.232823047766129,8.912925921094805,9.160042241324378,9.927278928380634,9.610559549507801,8.575675165414065,7.0291792502303,134.8480918458535,9.0
2021_Sep_01_SR-3501_SN19387Q4__00501.sed,8.022052783317116,8.517066309359013,8.213321799207247,8.4169320937938,9.130524012053982,8.848890754156539,7.90677851014147,6.429919024360162,124.93259319641317,5.0
5190,8.341261574457326,8.880669036935586,8.57769010893591,8.814428195226366,9.554963483527604,9.23568925947677,8.224166501108243,6.727132543089063,130.20550238681568,2.0
3545,8.502173573715151,9.050820976934778,8.745019441371436,8.98856948336846,9.738479460885475,9.42405044706528,8.398966823548257,6.866880877135404,132.6521273853501,7.0
2021_Aug_30_SR-3501_SN19387Q4__00054.sed,8.18859260258678,8.739939399432314,8.46289543323386,8.696577068515165,9.43278606166838,9.089482636579579,8.076977189444763,6.548181336522504,129.23564879784533,1.0
4174,7.74667106915886,8.272355214242609,7.98665188606849,8.193837188828406,8.90028075568258,8.554837053494218,7.580585647365089,6.197437900125275,121.93556731285334,8.0
2021_Aug_31_SR-3501_SN19387Q4__00121.sed,5.761022478209265,6.1706154221779475,5.921672135607644,6.067754219308524,6.599450766211906,6.404334488819613,5.679130654397877,4.683787593764297,88.33482040525678,2.0
2021_Sep_01_SR-3501_SN19387Q4__00661.sed,8.269575912849627,8.851112600472476,8.564712430406527,8.778815518806702,9.54441534763449,9.17792613973494,8.147106901336084,6.656975776581611,130.09463908017858,5.0
4100,8.064505038380396,8.505752185798798,8.114230562404487,8.269056841288842,8.925556402571866,8.674786774003044,8.02349239346746,6.464445255349281,121.741819779124,7.0
277,1.9917789595773954,2.313296450495661,2.1548384550365243,2.1545670809427895,2.3083879504992977,2.3078744619845866,1.9218804757642454,1.8331512119919517,32.80324051932084,2.0
3800,8.678063163956073,9.236899071902979,8.919629765305425,9.168342257204493,9.937624038654867,9.62175917425605,8.57729870975196,7.031351510008201,134.99870763880762,9.0
2021_Aug_31_SR-3501_SN19387Q4__00214.sed,7.7976745077632765,8.411305468695893,8.16527094681419,8.413302604846127,9.242058886717558,8.741450072729297,7.639232429072408,6.165890216018808,124.86966989982976,2.0
2021_Aug_31_SR-3501_SN19387Q4__00670.sed,8.547764341820152,9.11434441358572,8.80755739256291,9.059382013564004,9.837513007620311,9.49411378906912,8.440051215284688,6.899790565937099,133.6083671934454,3.0
2266,8.66992441598453,9.224895636994239,8.904878984803197,9.151702819895547,9.917660586967841,9.602890866153377,8.569233976448185,7.023768733052835,134.72356183337115,9.0
2407,6.897900324065533,7.359565898693107,7.104721748225378,7.291408681223273,7.904890518123996,7.650218089920221,6.807728262104065,5.562300256368795,107.90865859446487,2.0
2021_Sep_01_SR-3501_SN19387Q4__00413.sed,8.221353216138414,8.768790864359097,8.476168289669594,8.693964255405074,9.427659973745481,9.099840064396888,8.101277338889501,6.604359805055389,128.77540221115117,5.0
2021_Sep_01_SR-3501_SN19387Q4__00414.sed,8.22093092288739,8.768297331108249,8.47576108219991,8.693441543953732,9.427013299170873,9.099254366446399,8.100752148066679,6.6039252443177245,128.77080417248413,5.0
1944,8.210398557966524,8.76545583109732,8.47194059392744,8.69349561245106,9.438905748352694,9.092846846409241,8.081767430496667,6.5941689103589685,128.87006524236762,2.0
4389,8.638133501803269,9.195413576985038,8.877470494702145,9.122973455354884,9.88945978153381,9.572535978504806,8.533521608857514,6.997684366333561,134.35761323707766,9.0
1495,8.444309915778632,8.96024106836717,8.618469383683172,8.83117356353862,9.573966313293546,9.252038919243596,8.333300080741507,6.790455931528108,130.37423087457168,2.0
371,8.389761960989164,8.876204203329074,8.5125641635015,8.700885780760572,9.405326228947057,9.186181628492275,8.357270684602552,6.8912996589629945,127.46438104972111,4.0
2021_Aug_31_SR-3501_SN19387Q4__00803.sed,8.535336692194784,9.10124851874229,8.79240914271955,9.047483514993175,9.82778855837126,9.487796063814816,8.429687748159406,6.878268324192761,133.50081682797122,3.0
2021_Sep_01_SR-3501_SN19387Q4__00013.sed,8.549175666503203,9.09457243322889,8.780360688996131,9.026689497460573,9.78665953385311,9.482487311981538,8.45880417713913,6.943113964678387,132.79000929580545,4.0
