Sample Index,Material,red,green,blue,black
213,3,47.19472125643069,34.26825923706244,31.38096623701727,91.53293879064877
214,3,47.18495506203396,34.25896528004085,31.36759397163864,91.50414621144743
215,3,47.19425563500988,34.26783746596177,31.382030761280706,91.53311671772796
216,5,30.957621633716286,22.61958893656653,20.615190604632758,60.96990600102596
217,5,30.95827725150129,22.61949262520526,20.617724424257094,60.972440670955955
218,5,30.957223684614902,22.618487681705023,20.61605838580521,60.96917568619134
219,5,30.948270242754642,22.61143137751203,20.606033670593973,60.946733828749124
220,5,30.94966535979778,22.612807520691394,20.610052807791583,60.95394199498395
221,2,31.35179775686651,22.792600495740967,20.51050466939051,60.44797721040148
222,2,31.358236192084224,22.797118735986153,20.516389569480143,60.46152851795329
223,2,31.357143876809943,22.794390054217544,20.509848271557487,60.45301236381447
224,2,31.36394103252354,22.800178839098347,20.5153809728284,60.4678962232715
225,2,31.37192864137137,22.806276877348086,20.52350545380271,60.48741389580176
226,5,30.444910755478524,23.137411992556167,22.331735713414684,63.926654641380885
227,5,30.433577868424138,23.130683722775384,22.329086189044826,63.912777065398835
228,5,30.42694757390469,23.127343847773385,22.328396481900413,63.9061533114601
229,5,30.408584327442632,23.114032751895124,22.312959884419413,63.87012035098988
230,5,30.391150242869248,23.101830211641108,22.301339522621035,63.83856560237256
231,2,37.34584256748533,27.127181632393366,24.38348387085378,72.13272673832927
232,2,37.351576746511206,27.131512216460013,24.392145720750236,72.14939424566685
233,2,37.349890683433884,27.129675298007434,24.390481162008246,72.14563462991231
234,2,37.350523000449776,27.130682224222806,24.39091351609418,72.1476248752598
235,2,37.35115310823017,27.130702658742994,24.389636502913817,72.14548774371359
236,2,31.166785880595572,22.65224578519047,20.372450281503554,60.09243397646599
237,2,31.1649871197463,22.65097961915199,20.373947901454887,60.09383764772919
238,2,31.1540900625764,22.641287827168203,20.36257590577454,60.067142870633134
239,2,31.156835276691076,22.643701040172253,20.36516656535859,60.07278381479918
240,2,31.159719966346106,22.64659406132958,20.3713497724334,60.083363124516275
241,3,36.303994048220105,26.03655781008101,22.9594343665488,67.7660200362538
242,3,36.30248298281485,26.036339439465834,22.958510642864763,67.76348373367088
243,3,36.30469531181836,26.038375859222075,22.96054900295515,67.76901417778797
244,3,36.3019346798268,26.036190715241833,22.958480816399568,67.76419839857653
245,3,36.29842634475289,26.03222764138664,22.95422064780732,67.75450093382378
246,2,14.903188270566185,10.747400786266333,9.455898935115515,27.568831579065776
247,2,14.899502726311274,10.743833500473208,9.451613480766525,27.56003243409999
248,2,14.894397336776537,10.738858690463946,9.443740174695796,27.54367280791262
249,2,14.893396968713645,10.737202590173174,9.442147822712249,27.541508236404397
250,2,14.89316797875081,10.737057323475556,9.445062805409439,27.54534714482338
251,5,12.126509532255746,9.01718148322718,8.604925235029404,24.854718325664415
252,5,12.121851791275324,9.013000586561718,8.597555398857443,24.839803614105055
253,5,12.125634989034275,9.01594849923616,8.603253936533692,24.85159742962775
254,5,12.123030890430432,9.014367759308541,8.60236222814389,24.848614380627883
255,5,12.121148974438343,9.011364711621054,8.598855589337765,24.8415851869263
256,2,15.067493509963533,10.873572452603053,9.579511452335995,27.9177502334867
257,2,15.072825673135096,10.877888503422732,9.585139940861868,27.930302330915683
258,2,15.077973884233504,10.88133327565323,9.591927527228714,27.94421043937058
259,2,15.076219336645305,10.879847461050364,9.59193091713949,27.941115395164427
260,2,15.068184563528606,10.873450678619294,9.58617369625323,27.92451537827164
261,5,11.919104966991434,8.887667918943873,8.510259310946264,24.53275228934776
262,5,11.923721712024014,8.89242940058007,8.519263786905197,24.549564585361697
263,5,11.924032569349325,8.891700487588267,8.518074617144173,24.547899484343898
264,5,11.92541783220336,8.892844257127061,8.519541427543707,24.55049904860045
