Sample,red,green,blue,black,N1,N2,N3,N4,Material
aug_1.0_9a9a44dc,58.74630779648762,42.602676687572554,38.53969403080983,113.45714492899023,8.232672589670829,7.956321480332073,7.937851889291946,6.8437727715863,1.0
aug_4.0_1ad08d39,59.125367543398745,43.07936418223961,38.9546548698067,113.46934796690569,8.48387577531624,8.159064404502336,8.25355963972129,7.199902294414642,4.0
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,59.46783905368649,42.8825578306018,39.64812405928055,114.18635327776076,8.586476315111202,8.23169214444494,8.15807256234,7.19910531975566,0.0
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,46.88411605029508,34.18429860135262,31.28290633471888,87.12926613818144,6.346207015216528,5.979464379012588,5.9396647807848435,4.94729446683067,6.0
1021,45.503603604812035,32.45080359651319,29.033703991463906,86.52421604099935,6.292441019211606,6.091820088265171,6.006821041178435,5.186899769767206,8.0
576,42.2164209599682,30.344147389907885,27.551281506128504,82.3012372565758,5.997188961457814,5.884532356720799,5.828837844154064,4.922395885239038,2.0
761,53.28494130195175,39.394337007134034,35.18483931265617,105.50717026343112,7.64189138362104,7.458249580808531,7.420476962246836,6.545262627934169,7.0
2021_Aug_31_SR-3501_SN19387Q4__00102.sed,55.49687744068554,39.96942967145028,36.705708477869,105.03022280444739,7.774478138064395,7.212645048806527,7.197242112007526,5.957053542413403,2.0
aug_3.0_2b89533b,58.09912238423058,42.23784697756088,38.161095288564724,109.78648735534668,8.322591477688848,7.950038715834732,7.84010258300147,6.6846235466203066,3.0
3523,59.509655265753075,43.88763170719013,38.40901843102754,114.67471869073846,8.413082892709403,8.164756297172847,8.14989018922433,7.142720065007922,9.0
2021_Sep_01_SR-3501_SN19387Q4__00384.sed,56.152251873839475,41.763576485306764,36.97346355050219,107.72858146486634,8.044631539601687,7.971591629672086,7.681907576628767,6.735134872052714,5.0
3866,56.434805425596146,40.75126326711527,37.56204547048429,109.89572338008402,8.175036017341847,7.923952249859358,7.8278083984785685,6.712967542647224,2.0
aug_3.0_fa0a66b8,58.339823343680195,42.24707645315772,37.57555322562577,108.9828455847409,8.15652946787542,7.895126760265457,7.992784962461082,6.963957594748553,3.0
2072,35.293924918470594,25.50404739129515,23.770811224145923,69.14498439511985,4.931681839970284,4.882580505116029,5.072573345645033,4.270651901457382,8.0
2021_Aug_31_SR-3501_SN19387Q4__00473.sed,57.28496591875583,41.210490664837714,37.69482686383473,109.75608300093586,8.133488123715575,7.849828928951103,7.839206360228818,6.773911203269522,3.0
1467,57.91719703319097,42.095785346917616,38.05794193594693,110.46171556852866,8.223578329030676,7.82872646495873,8.032625092048123,6.7652533786237505,2.0
aug_0.0_e8471688,59.17432149335685,43.69005852718694,38.985534696680794,114.64244402286116,8.533419800428693,8.222442919969424,8.179077718339974,7.0417034230172595,0.0
