Sample,red,green,blue,black,N1,N2,N3,N4,Material
2021_Sep_01_SR-3501_SN19387Q4__00573.sed,11.402610125301287,8.29105257490252,5.844578332033756,130.45161997644266,9.226659466634807,8.95021966191849,8.672358723776068,6.9054833507641185,5.0
4630,8.791486567029805,6.265120282759066,4.283778324220143,99.79261352120542,7.122180626353864,6.778229741120148,6.428276527038679,5.2357938806616025,2.0
5032,11.792349440880772,8.576154028827952,6.042901137245709,134.8164037348279,9.51883080844659,9.165591617992533,8.985514055526847,7.381377018956618,9.0
aug_0.0_95e5e8d2,11.731358850970093,8.733467086069124,6.096519359057396,136.00934863014788,9.728510142399209,9.259380299389711,9.069380734802905,7.309492572996248,0.0
2021_Aug_30_SR-3501_SN19387Q4__00030.sed,11.270045543570042,7.970133905629246,5.715528555726029,126.28236492559226,8.996235519213355,8.815398639875747,8.272896661125781,6.788855900201291,1.0
aug_6.0_e166a68b,11.512287682512437,8.224129937232213,5.91707307294939,131.6742216717502,9.265545217759136,9.01207411500266,8.626580618891728,7.039300851124118,6.0
2021_Sep_01_SR-3501_SN19387Q4__00048.sed,11.771790931590413,8.838730923782096,6.2859637107423065,134.40507328650054,9.541575011548112,9.271467256949359,8.986408949808043,7.302996922215798,4.0
4376,11.922363412425042,8.70944952788263,6.2621617389481425,134.49920499856822,9.74252980358458,9.148729510145207,8.936608919938175,7.354645029465604,9.0
aug_6.0_b40f34ec,7.79647756586717,5.532501703926853,4.069845971841062,98.14092415216737,6.742321874687999,6.461470853940217,5.957457263389002,4.843497395820794,6.0
2021_Aug_31_SR-3501_SN19387Q4__00261.sed,8.668964759049505,6.375732213815027,4.495051596550781,100.84643073770187,7.242804648688089,6.854929733921049,6.572383259271903,5.371635615084254,2.0
aug_1.0_9a9a44dc,11.557612219005202,8.355907281557956,5.877216252704698,132.50725730682856,9.348360974576197,8.98105324447755,8.678812994428013,7.048828746137337,1.0
aug_4.0_1ad08d39,11.980906348931933,8.523138206885601,6.204890233237714,135.33295326086136,9.858218072969622,9.121672583968945,9.042156644630246,7.355502418431544,4.0
