Sample,red,green,blue,black,N1,N2,N3,Material
4630,45.650017910594954,32.229369034212674,28.63085468491366,83.0011829645275,6.4790385635446786,5.777623458479982,5.850263487360774,2.0
5032,58.86847024840975,43.29156553659651,38.90758432091605,114.65869412124084,8.979110186201869,8.014854017805005,8.170274729244962,9.0
aug_0.0_95e5e8d2,60.52560557258144,43.73585981740061,39.28500569176069,113.6199752356634,8.869124802119186,8.071487839409365,8.319335805704123,0.0
2021_Aug_30_SR-3501_SN19387Q4__00030.sed,57.03148726673297,41.21782392349974,36.32057139244532,107.31253592525626,8.341693264473484,7.440705011920307,7.67596108852448,1.0
aug_6.0_e166a68b,58.31435995465203,42.377407395548055,38.1387432353044,110.11481011475887,8.706508325002169,7.772268562060562,7.838581810142475,6.0
2021_Sep_01_SR-3501_SN19387Q4__00048.sed,59.97280182198218,43.12672993091419,39.60439340958416,115.11898840317932,8.983822668287411,8.174583689351044,8.29663809616383,4.0
4376,59.153851392370306,43.92842850034442,39.05849326110584,112.98172479958784,8.72858510868822,8.197920437908108,8.151367935858135,9.0
aug_6.0_b40f34ec,43.0193956674736,31.51639010763174,28.834850598371823,79.92653626153557,6.204030247753041,5.546730863422279,5.556602340304379,6.0
2021_Aug_31_SR-3501_SN19387Q4__00261.sed,45.67980457583565,33.06904204002543,30.041923337574584,85.4114129505568,6.564947751237645,6.092633108472188,6.157660365668224,2.0
aug_1.0_9a9a44dc,59.37802725502417,42.56638121727187,38.06791033765547,111.60722733003703,8.619815871980872,7.688167107023952,7.8178788643383665,1.0
aug_4.0_1ad08d39,60.40193775414099,43.3862243658664,38.62103165074579,114.7048968577119,9.006261237758535,8.215707421113791,8.223313437815447,4.0
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,60.68746157582674,44.621657451762054,39.20362062823616,114.87453818762398,8.967445759087477,8.01352435110966,8.234752661185242,0.0
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,45.909198536105826,33.79278062790248,31.223767501863076,86.6585043681378,6.823654300151842,5.804303987056318,5.827264890922978,6.0
1021,45.67779668422579,32.529145587971335,29.004085561280483,85.2512063738448,6.549534523778773,5.843787116101221,5.950109828465965,8.0
576,42.97069467112425,30.949092426834834,27.775841827880342,81.77981014390473,6.2724197148665635,5.731110508040832,5.814367493739001,2.0
761,53.02267101113137,39.53178210677823,35.99645070840703,103.6219861348634,8.0487004136073,7.358398881475196,7.685073970764732,7.0
2021_Aug_31_SR-3501_SN19387Q4__00102.sed,54.8744506321998,40.4938646092383,36.34114150469532,101.54420506059543,8.190646359292776,7.075108353590331,7.1497502543240055,2.0
aug_3.0_2b89533b,57.954980995885755,42.10203751427795,36.98131946657408,110.89751497770105,8.71002550225068,7.952917589380892,7.904301936815484,3.0
3523,60.12230772896634,43.235458573683594,38.91897287254847,114.7372644245818,8.917481558917585,8.170262937924138,8.259678479619753,9.0
2021_Sep_01_SR-3501_SN19387Q4__00384.sed,56.20212833163444,41.43187943208719,37.35623345152878,106.49539212541715,8.47194024814605,7.764316190492573,7.807004261959849,5.0
3866,56.01066691542708,41.350359863599934,37.282660275123234,109.72737400536315,8.588710470292439,7.747453763215176,8.03601277525913,2.0
aug_3.0_fa0a66b8,56.49286815314542,41.97989967407103,37.77194116018224,112.59088266649763,8.689119340233251,7.857205400732618,7.872035042667654,3.0
2072,34.41396129461422,25.628006969434573,23.829227727736622,68.72041075177661,5.282089812032728,4.831196999230369,5.2539463467293785,8.0
2021_Aug_31_SR-3501_SN19387Q4__00473.sed,58.250912891340285,41.43026473707009,37.6763261092667,111.04401841140134,8.50221967632995,7.60749334569381,7.994368201656586,3.0
1467,56.94619652459233,42.22065424279624,38.53339294516905,108.9719772725745,8.608628602810597,7.821827468606493,8.048542194448991,2.0
aug_0.0_e8471688,58.481355000024536,42.85636162743285,39.39489989172932,115.74451653358634,9.043379061239234,8.101054067623163,8.133211430696987,0.0
3092,51.231555385001336,37.575544286166554,33.218236719996746,96.44559836617302,7.3421539280102746,6.578462483364725,6.7100411217832265,8.0
2021_Aug_31_SR-3501_SN19387Q4__00010.sed,41.91909591914726,30.831919414081774,28.35048353559198,81.29261089400384,6.235066516431999,5.642387897272498,5.928366499441479,2.0
