Sample,E12,R,G,B,G1,G2,G3,G4,G5,G6,Material
aug_mixup_9.0_436623,133.22651032942707,9.831046008139147,6.519711046613394,4.707192075811501,8.69677605567853,9.012791060293187,9.091291560436904,9.27539451629513,9.544466130215005,9.270800384474365,9.0
aug_4.0_2857eb07,134.9329553416198,9.952635013027212,6.605611134886596,4.768681051795709,8.805839340866758,9.128403395515292,9.209656544135632,9.3969691820941,9.67112623412759,9.389120444289592,4.0
aug_mixup_9.0_289167,132.81028386729412,9.811947459986275,6.5250335810601,4.717613316329098,8.714230856151985,9.013036420364223,9.076255578596433,9.249890271530068,9.510827988388787,9.243994931680017,9.0
676,106.40409590605763,8.175692225391199,5.490413026936598,4.011571806205557,7.41271813475424,7.529960649546055,7.407208745004111,7.425357300300619,7.579901805353611,7.544263877196618,2.0
3050,134.7827776383337,9.947453257485936,6.605560660588747,4.770717343946938,8.810756077392156,9.126535583129154,9.201940009105861,9.386736930967809,9.65731449820834,9.381933009497704,9.0
2021_Aug_31_SR-3501_SN19387Q4__00490.sed,129.9976811873032,9.564375684734916,6.328879120955544,4.570864739845117,8.46593140890109,8.777197595659086,8.85401609600221,9.027306187006662,9.294769683774353,9.015125914021212,3.0
1449,117.47111252980352,8.81548520442131,5.985933032784729,4.357497646988639,8.071083745467945,8.230083732791943,8.143073136906109,8.203695075598056,8.364084906407419,8.20186107521628,2.0
2021_Sep_01_SR-3501_SN19387Q4__00068.sed,134.98886933511966,9.961953345920799,6.614379801008618,4.775206433710063,8.817949088068598,9.137255811864994,9.215573211657413,9.4019480907853,9.674429354683586,9.398083698839011,4.0
aug_mixup_7.0_458081,131.02006134452205,9.6678390841996,6.395173885544608,4.618837380176338,8.563952342711698,8.868223507884059,8.932386998959439,9.100012610863082,9.367494610599236,9.08942632586431,7.0
aug_4.0_898e8434,134.74394080671092,9.938164127635893,6.601846171586164,4.7654131834897555,8.799786629398769,9.121123807948925,9.199877234966593,9.38467117851761,9.656926139550968,9.37748375041598,4.0
4373,128.0634095954323,9.452055760496897,6.256874655280777,4.516219102425933,8.353408796596188,8.657439137843566,8.736620089403107,8.910466638398965,9.168552152310685,8.906955104756905,9.0
aug_mixup_7.0_279838,123.02735690100786,9.133817861002987,6.0811812843435336,4.415284031528218,8.20971672228166,8.434228534576437,8.425407975763186,8.537558793060644,8.752512116124235,8.529952079071297,7.0
aug_0.0_41c19326,135.23830788488976,9.98313363524053,6.62358273202254,4.783144472646223,8.831440529862519,9.151363735934993,9.230560967676587,9.418760779922433,9.69225704173429,9.416311124299416,0.0
2021_Sep_01_SR-3501_SN19387Q4__00405.sed,128.19832406825492,9.450937107845544,6.211742044577175,4.478815105028499,8.3313663816391,8.642881290236836,8.720547173086793,8.887172986473878,9.148389534896218,8.87602869344473,5.0
4107,130.8546850460788,9.646314989134163,6.379668784506508,4.617218746177363,8.553541607693132,8.850970250032473,8.91449649074367,9.083847173405175,9.347304629030425,9.075703523110839,7.0
aug_5.0_05030129,128.96728741863745,9.484209995378162,6.232835345237072,4.498975941344278,8.356133826695284,8.686120395585284,8.774439857540084,8.926458494192518,9.20199572853685,8.911568482600039,5.0
2021_Sep_01_SR-3501_SN19387Q4__00374.sed,125.39655004321865,9.324221501117078,6.1212166689940695,4.413233049819158,8.207155668696224,8.483417213394539,8.547652839267533,8.707850870960982,8.958401651767117,8.73299138565412,5.0
2021_Aug_31_SR-3501_SN19387Q4__00552.sed,132.95183778869202,9.78326160344006,6.447645278495541,4.667363019770876,8.6220776580116,8.949903685895471,9.040489577868547,9.228113019038004,9.516655733077098,9.219365347136616,3.0
2021_Aug_31_SR-3501_SN19387Q4__00675.sed,134.20940473022057,9.898190901242513,6.5358485668148605,4.729660359841938,8.732478498139937,9.05546607997835,9.1385760830531,9.32721122956168,9.609940006955705,9.329145502048824,3.0
2021_Sep_01_SR-3501_SN19387Q4__00366.sed,124.20207829941069,9.236878269572903,6.085165201459993,4.378581772884063,8.125324923792835,8.414596266466,8.486247785307445,8.64310876675933,8.885712151286421,8.66771451830757,5.0
26,60.41157563504495,6.549943038756802,2.8896955601855034,2.213358015781468,4.288661827112717,4.3017555573988355,4.097684291384674,4.085311159955821,4.30786187285938,4.7306736365956095,9.0
4238,132.3634261839681,9.766868680036929,6.45349898389874,4.651819805993805,8.624845460477987,8.941808703872665,9.020314990869437,9.201540731247507,9.470700668631078,9.19335243162212,7.0
2021_Sep_03_SR-3501_SN19387Q4__00188.sed,135.21045568210837,9.979814234672629,6.6220467608613625,4.7818570648872125,8.829116912574237,9.149291500237654,9.228746334907495,9.41676136950586,9.690384832732907,9.413566102631453,0.0
aug_mixup_0.0_784969,133.3008022778031,9.847689306403556,6.536371178831001,4.717924000274147,8.711302006841947,9.024352467105384,9.102030883294244,9.288137704566925,9.557443668299047,9.287140793973279,0.0
5273,117.61417554735932,8.660722442825792,5.639606240950078,4.070412324909243,7.60745172051694,7.892819334891934,7.96762312278841,8.128356622970255,8.362245969878904,8.100728537847806,8.0
2021_Aug_30_SR-3501_SN19387Q4__00309.sed,110.67775591152457,7.885188024665887,4.969164786260975,3.6247085299086113,6.819174448399214,7.206052538533577,7.347088973042732,7.4641014492946836,7.8052940362645575,7.3590775799092665,1.0
194,70.99144045103931,5.280175843559148,3.505838197425612,2.507023431249806,4.6870489876265875,4.881625797523924,4.883556737347624,4.952619820838153,5.06104685030226,4.908875401477382,2.0
349,84.34126890158115,6.055213750248032,4.075487126747639,3.0757485700146643,5.466796658162816,5.67227977310289,5.70876830521445,5.823318907401031,6.011453254158675,5.845970325134757,2.0
aug_mixup_7.0_360723,132.84447706373348,9.797405995438595,6.476880773033268,4.672748049764785,8.655742309969094,8.974753877784952,9.05345863834296,9.234117238075775,9.50636534956055,9.224909947404763,7.0
1875,104.785508211257,7.658642218311875,4.905853210807268,3.512335823033091,6.707321861534189,6.9766933726483975,7.045962764822513,7.166642528120369,7.377647468084781,7.103915597101249,8.0
aug_mixup_5.0_967111,131.1800104895239,9.645657869180965,6.326378701252625,4.576322539421001,8.475038275069593,8.810732056726238,8.911462903546226,9.086416785477097,9.375609093757282,9.068467582747902,5.0
2021_Aug_31_SR-3501_SN19387Q4__00388.sed,135.0946061508009,9.970955498556334,6.622159428034216,4.781124743432957,8.827315956673857,9.145928207485397,9.223724107277924,9.410562379240579,9.682974331716405,9.40750255909396,0.0
228,73.01872974235121,5.240674116182061,3.889350284483858,2.948759130802328,5.026979321135959,5.175777850180075,5.158265593302739,5.211667989468356,5.32453137871873,5.200077908941586,5.0
655,87.44940603538159,6.709496614359817,4.451314567286331,3.3451374787384287,6.122503144989208,6.195628287524276,6.095828779819673,6.049682845163709,6.145003874774128,6.1362684173310775,8.0
2021_Aug_31_SR-3501_SN19387Q4__00170.sed,111.74780739795662,7.910634241003512,5.190591043043012,3.832129586333256,7.053355540454721,7.399974886153457,7.493107518130434,7.593749421086798,7.9015039659614175,7.524972756866557,2.0
707,119.50416608510137,9.103010726148845,6.149044855707821,4.456639118782978,8.203039599538995,8.371272221338659,8.320085655443808,8.385690029056022,8.578335042632489,8.483741099219035,9.0
aug_mixup_5.0_362404,65.37275422703995,4.80365514517087,3.225321705118502,2.350762578532771,4.312924311145274,4.478661418052946,4.489867792108299,4.545388889829997,4.66275730408146,4.524873228497963,5.0
aug_mixup_3.0_729967,130.1317211665244,9.599790035480671,6.354219773933021,4.588715855580004,8.483119239630373,8.792800148537196,8.872840105247379,9.053365404428586,9.318767308501783,9.047921609220904,3.0
2021_Sep_01_SR-3501_SN19387Q4__00655.sed,129.25987151853602,9.502586715863295,6.24164773703848,4.506221132493837,8.3668642165718,8.699935554309235,8.791050996959857,8.946563816109128,9.22494981141373,8.929402357049891,5.0
aug_5.0_0c650c62,125.8941102326967,9.292824514457353,6.094721548439486,4.399515079820814,8.206167812231808,8.49033722431441,8.554418606768209,8.702303626166383,8.96821396693592,8.710823066036427,5.0
2021_Aug_30_SR-3501_SN19387Q4__00057.sed,129.63779736411246,9.579205338355017,6.236830344494678,4.483975785272819,8.38106939480755,8.706808476167092,8.795265371780772,8.971333207337015,9.247436172442239,8.958606091382858,1.0
4699,102.48764386661617,7.483652084715073,4.767690380440979,3.4135673823523547,6.538731831859666,6.806243984131539,6.877397972741563,6.995228460157682,7.199964694904718,6.927379716192233,8.0
aug_mixup_0.0_928764,135.128348710586,9.972257922686214,6.621750930606639,4.781024320155483,8.82704328576943,9.146856857479143,9.225438286760411,9.412207691826517,9.685084797057048,9.408387672701235,0.0
aug_0.0_1c58d75c,135.08238676683163,9.970689137244237,6.622535568599833,4.781381544331571,8.827508779176885,9.145535082940402,9.22316605086953,9.410159906760585,9.682417607779895,9.40753484752872,0.0
2021_Aug_31_SR-3501_SN19387Q4__00691.sed,127.3133826386595,9.402278495936244,6.238461136677926,4.501467831140799,8.31688536527188,8.617307835103567,8.692112397659493,8.868307855182398,9.124852417625851,8.865792588050805,3.0
2100,120.535472440478,8.782481280697464,5.792857896413068,4.245926781191283,7.903070620937935,8.159615498225698,8.176312558148464,8.259225566272077,8.52604001816913,8.21425381820648,8.0
aug_mixup_7.0_557563,129.34776299679203,9.534259200826511,6.262158235106471,4.511014244793854,8.39578743581474,8.712975020119856,8.793631889825908,8.968191418036799,9.235764942015377,8.9530843990916,7.0
2021_Sep_01_SR-3501_SN19387Q4__00396.sed,127.83552775692425,9.431323711902827,6.1983523471130715,4.467888377438169,8.312531122397402,8.62046851276972,8.697634010424938,8.865096650022704,9.123315199535064,8.855658373626156,5.0
aug_mixup_2.0_171566,111.95790450524912,8.292446440464621,5.446099482601221,3.930312545722469,7.33821886369075,7.591266916784948,7.622802539017439,7.754538246312548,7.971103194959506,7.747876630413822,2.0
1559,134.9517214356093,9.95769012962965,6.611259451592469,4.7743107350453045,8.81680896360639,9.135599854222026,9.212512589249059,9.397909337356186,9.670237701983101,9.392595813627908,9.0
aug_1.0_629a35c5,110.80380697882528,7.895186861993646,4.977639025368119,3.630929147239399,6.829071695029355,7.21471244937252,7.356213570448194,7.474638141255296,7.814777926317767,7.3713910468331445,1.0
2021_Sep_01_SR-3501_SN19387Q4__00529.sed,127.34158196731572,9.374383377309867,6.14734593700236,4.441417137476157,8.270140926954534,8.576300406700671,8.649735330263201,8.798639837524455,9.073969765315141,8.795055661362387,5.0
2021_Sep_01_SR-3501_SN19387Q4__00355.sed,135.10350279087368,9.970742001139325,6.612946224168012,4.775868112611062,8.818176207956274,9.139116672908203,9.219353287350888,9.407897584891643,9.682229943109455,9.40430168520086,4.0
1856,131.98105325433454,9.747212250150113,6.460152598948059,4.659424617824423,8.617104701546786,8.928752659406964,9.00867794022636,9.190039583451146,9.454237797240204,9.186284156338697,9.0
aug_mixup_9.0_227082,88.88222735736503,6.610839602286557,4.249988068252622,3.013756287319939,5.746107837572939,5.999011742174699,6.069456436398937,6.144395161286871,6.278430560535093,6.085410851253006,9.0
2021_Aug_30_SR-3501_SN19387Q4__00290.sed,106.0515247851856,7.546497062735352,4.778588612450271,3.471047089787211,6.576413991484538,6.942163068521104,7.048039580798056,7.142140139691839,7.449882193102247,7.039815260013356,1.0
2219,131.2607041758268,9.667654590891416,6.41008289749162,4.638287086364101,8.596744019145873,8.895173573794501,8.950031868926473,9.108089157085097,9.377160604704194,9.090499516556402,2.0
2021_Sep_01_SR-3501_SN19387Q4__00869.sed,112.77284238275772,8.264264066990014,5.163912464436833,3.695473252222227,7.095818911630221,7.426662075046632,7.525671011864571,7.663490702102581,7.928945265599339,7.6099143138464935,6.0
4961,117.61295196667383,8.830465432770792,5.980865692454165,4.362593519318306,8.101073622673312,8.233813296745733,8.133144436910946,8.186884675120929,8.359287039573369,8.20471599050498,2.0
2021_Aug_30_SR-3501_SN19387Q4__00270.sed,93.74179839317176,6.661448235445973,4.157507189160539,3.0010246433137775,5.812170825268049,6.1196044051598575,6.17965787679647,6.25675291438445,6.517848526622533,6.16473461703837,1.0
3814,134.8820871706087,9.954647901267602,6.603912729982793,4.767626183013917,8.806485219632748,9.126306320525309,9.205400041053998,9.392393372614798,9.665457927921686,9.388746457329837,9.0
aug_mixup_5.0_626779,130.5159381625431,9.594563354065187,6.294368654711281,4.550364381827984,8.434062721663638,8.769556882234523,8.868764877584892,9.03757291280008,9.324076520837732,9.018518975121571,5.0
2949,78.46656338654955,5.973385428982495,3.928555699056742,2.9093325294247867,5.472443420438477,5.505016520960103,5.409660479088722,5.390355434984258,5.479976256661635,5.417073135415823,8.0
aug_mixup_0.0_258113,135.12696650422436,9.972079182448793,6.6217604508109424,4.781027278019611,8.827033603019641,9.146934847935801,9.225356096438349,9.412096489700494,9.684923236631587,9.408256334160875,0.0
2021_Aug_31_SR-3501_SN19387Q4__00303.sed,116.64508285671076,8.264099115206644,5.360448840562777,3.9643649404264294,7.27261777413458,7.653174292690252,7.793325607442286,7.926681115988814,8.279833948829022,7.844645299713312,2.0
2021_Sep_01_SR-3501_SN19387Q4__00935.sed,127.1451757921959,9.362647028248698,5.951413374793469,4.336013034279153,8.073958883188261,8.414287298481689,8.527148230286503,8.71597886445221,9.042455639826613,8.726976734923337,6.0
aug_mixup_0.0_199099,132.98996187690864,9.82789506285185,6.531295272731844,4.71437977819257,8.698415389912233,9.008649951498892,9.084974156709128,9.270840877778156,9.54080756857867,9.273028936857044,0.0
aug_0.0_4838974a,135.12390085760342,9.971864886053647,6.621710196606392,4.7809694576061785,8.82689787968847,9.146720517979041,9.225216529164673,9.411907433600502,9.684799479885779,9.40821312865101,0.0
2021_Sep_01_SR-3501_SN19387Q4__00264.sed,134.63565655329643,9.939067818458525,6.606119459241957,4.7665705267012495,8.801963001760763,9.119093777224126,9.196429437764836,9.382532741446667,9.652647410151737,9.378053428673311,4.0
1418,123.17078376981536,9.144320106156673,6.101029016180182,4.43359975473412,8.234511716838222,8.454065276383254,8.442021078672381,8.551958715666704,8.763389077720515,8.545320780125952,7.0
2021_Sep_01_SR-3501_SN19387Q4__00321.sed,134.90316034375496,9.949892360766892,6.604967168470877,4.767917182758221,8.804538547156193,9.127270699216702,9.208360692172011,9.39515950394279,9.668963641617685,9.38681436527786,4.0
648,111.58673422334657,8.430950743563912,5.5961517744039435,4.066238896837734,7.535164067352392,7.7292852814666055,7.692474783536886,7.768795196668407,7.955291981561283,7.827405266119237,7.0
aug_mixup_3.0_150748,131.45604988658351,9.674952853893853,6.392533474779719,4.621210533899313,8.543471607604406,8.864603304875054,8.950315367830074,9.131392506407831,9.40887762465351,9.119111208135232,3.0
2021_Aug_30_SR-3501_SN19387Q4__00032.sed,127.7093213946547,9.455671321316064,6.137314945156757,4.399979726530301,8.2609725474101,8.575789297805363,8.659922628867182,8.83471524892461,9.098417330289102,8.823031879321693,1.0
2021_Sep_01_SR-3501_SN19387Q4__00794.sed,132.10387275059884,9.770705725253059,6.391787823776312,4.598817590206977,8.56548409322584,8.891035276718453,8.97954803914622,9.162345832095907,9.442184031966235,9.155778142922578,6.0
1248,120.32574225338676,8.84421797711781,5.787500953277552,4.182533327942321,7.797172535047367,8.086056202851838,8.159085355692095,8.31962107305602,8.561977614771285,8.293808488982359,8.0
3131,131.0007540979691,9.674860282177661,6.413541264685549,4.625627517854397,8.553688007430656,8.86284059243106,8.942897883765873,9.122531649484438,9.385469328371707,9.11932169926456,9.0
1489,129.64754965627674,9.573833825369316,6.369858810514193,4.613682578313021,8.553445515653749,8.821244383485352,8.855252358488034,9.005442342891467,9.256484635186606,8.994298568635614,2.0
5310,131.97066046019017,9.74240193207201,6.433538570365157,4.635599782378272,8.598906658032325,8.914170651326822,8.993208564108851,9.174928845246686,9.442202817023848,9.16680725055247,7.0
5347,124.13816336237723,9.109407080489472,5.968744347080632,4.307994363724343,8.031977577257193,8.34248705630689,8.41986445160042,8.580183770606407,8.838801035604924,8.549659619560593,8.0
3134,131.01565697021115,9.675432079258377,6.41406103565769,4.626728792865115,8.554669294745135,8.863758646678363,8.943861196896204,9.123407943314394,9.386316053668613,9.1201734011073,9.0
1539,131.44083243597368,9.71573014727821,6.464727354092174,4.673109763796694,8.63020281180706,8.925092296816752,8.98640778563444,9.157875080953675,9.41544613494315,9.153332104859832,9.0
240,70.49774261117946,5.242963834902948,3.4806657004767616,2.4899206098042375,4.6543262902249,4.84828723179805,4.84917778196151,4.917364434306948,5.024656019504966,4.8739690585802435,2.0
