Sample,red,green,blue,Material
4386,36.90250036295189,37.70822584375303,36.831419086783875,10
4387,36.90570832679299,37.712003988124586,36.83473593676498,10
4388,36.91366855704906,37.719230055597855,36.84212815878007,10
4389,36.91231849998442,37.71769166174151,36.841095205441974,10
4390,36.90054902664002,37.70796070164343,36.83092885611271,10
4391,36.93919886231603,37.73851431813418,36.86662578893135,10
4392,36.931166681853256,37.7308923285766,36.8593333130689,10
4393,36.92443122620715,37.723433350502866,36.85194136048515,10
4394,36.941459641966205,37.74281672203471,36.87017673281482,10
4395,36.933571635483695,37.73440710607475,36.8620213523379,10
4396,35.65328075922499,36.403143354531956,35.57375878164674,10
4397,35.68601415770633,36.43764206273997,35.6070895970392,10
4398,35.37246391923599,36.11540505660675,35.29395234929613,10
4399,34.998216896601235,35.730860632944804,34.91594192183671,10
4400,34.85650847754356,35.5817006522406,34.771862823344286,10
4401,32.213909779297616,32.93752047942146,32.19903410000022,2
4402,30.199273823462192,30.869391096126037,30.18018309606039,2
4403,31.27163590878049,31.97346009539867,31.25726772568126,2
4404,29.933731478813808,30.59638566190097,29.913096613528182,2
4405,30.593334546959095,31.275933762618717,30.576557028135273,2
4406,35.625475503832305,36.47895122677134,35.5846164301017,2
4407,35.54775855475386,36.406116530194645,35.507977436200555,2
4408,35.60810175775055,36.46267301626516,35.567637835013635,2
4409,35.540060613786224,36.398911389032335,35.50050985086167,2
4410,35.58641993623401,36.442473903531315,35.546247313084145,2
4411,35.68936450992494,36.56397324141263,35.65601739875554,2
4412,35.68782096797542,36.56184438276252,35.65495890936113,2
4413,35.641242494921265,36.520749208165185,35.60988160638291,2
4414,35.656422510933005,36.53372455047687,35.6236765754681,2
4415,35.655226294330994,36.53336778430586,35.62290770853818,2
4416,36.10347929595746,36.957932703023346,36.06267644546842,2
4417,35.8331315627571,36.707385204342835,35.801702256505656,2
4418,35.746386178489885,36.625903224840364,35.718499111169,2
4419,35.71019705096485,36.591781197294765,35.683251470817936,2
4420,35.73464375479478,36.61193726994859,35.70649311969789,2
4421,35.878034507155405,36.7380103009914,35.845027898004176,2
4422,35.92982458587667,36.788992789603945,35.89534127233291,2
4423,35.87532950353652,36.73668409385668,35.8430102530612,2
4424,35.90566450698231,36.76624591798574,35.872493673933576,2
4425,35.9068039426979,36.76658137908115,35.87345215120095,2
4426,32.388752312441554,33.162473515594186,32.38512953409249,2
4427,32.21285657873367,32.98273042005389,32.21061012328068,2
4428,31.651073220259075,32.406412391296385,31.649299991605787,2
4429,31.869800110035776,32.626003675804526,31.866965557186575,2
4430,31.52556688284005,32.27219614664551,31.52385770953234,2
4431,31.199807333970142,31.89515386592022,31.182364295282518,2
4432,30.554026063472488,31.230516682273784,30.53489050717291,2
4433,30.702490269665045,31.38492777442131,30.684471292315873,2
4434,30.404613475283533,31.07786955908108,30.385584225888977,2
4435,30.31869456535505,30.98811094638119,30.299589930278803,2
4436,35.50435469728404,36.35366684677723,35.462091191540196,2
4437,35.53420039777363,36.38329528679061,35.4910384698962,2
4438,35.576869362070894,36.42451093643814,35.5337419854122,2
4439,35.515938161117695,36.365591992725435,35.473119319928706,2
4440,35.50227333324774,36.35251492281596,35.46026622582088,2
4441,35.81152796072153,36.67697408428612,35.77259823215955,2
4442,35.611924870404174,36.487609611780826,35.57685182576773,2
4443,35.61802210685704,36.495012975157294,35.58294997819457,2
4444,35.66751542055511,36.541960098630106,35.63043360610654,2
4445,35.63769351451604,36.51389310046143,35.602304982746176,2
4446,35.810467696191,36.691621269580295,35.78120476178262,2
4447,35.84396271095453,36.72265962471227,35.81391297400665,2
4448,35.769842428597855,36.65003749676715,35.74135447869229,2
4449,35.796734808940876,36.676553108179625,35.767015664091495,2
4450,35.82437320934793,36.70358615079309,35.794076773978844,2
4451,35.99588794266112,36.8531821533052,35.95991485181031,2
4452,35.95730058003028,36.81789400461251,35.923504118857714,2
4453,36.00001855802396,36.85769465963149,35.963655170268574,2
4454,35.97028819126248,36.83066435664306,35.93571910226138,2
4455,36.02437990774878,36.88253511689639,35.98825845496937,2
4456,31.93380473304583,32.66123268388284,31.916486206516332,2
4457,32.34443398416227,33.07005379393293,32.32075104434726,2
4458,30.067454028504994,30.727326177516787,30.039647501263595,2
4459,30.47757662420088,31.148626324191067,30.451770865750646,2
4460,29.416810659731297,30.057095828178166,29.38745684697117,2
4627,27.148552672934013,27.872061143782066,27.273965433904152,2
4628,27.14409808050875,27.86641765563157,27.268537004030886,2
4629,27.146562217110997,27.869156811967226,27.272140783481742,2
4630,27.14182496317216,27.86391201858166,27.267343889974896,2
4631,27.147392193356463,27.87032494687389,27.272552234759033,2
4632,33.837477808478496,34.76541616748926,33.842253042157836,2
4633,33.84148566403897,34.76991980484086,33.846543229574756,2
4634,33.841340804360385,34.7702468589437,33.84583898104472,2
4635,33.841718628855645,34.77119718758897,33.8461260969561,2
4636,33.85012107976786,34.77926539287237,33.85415270123167,2
4637,34.120390304395826,35.08683146673985,34.13255249487842,2
4638,34.10728724494458,35.07438431265444,34.119736876202595,2
4639,34.11453720319012,35.08076472388392,34.127139050752696,2
4640,34.11820057643634,35.08409773871806,34.13004487963769,2
4641,34.11479928143358,35.08209996924769,34.126634211055524,2
4642,34.48947265279694,35.45310602975645,34.505216001540724,2
4643,34.49990579808443,35.4632437344715,34.515220881605515,2
4644,34.50501153820347,35.46897334258574,34.52022684971044,2
4645,34.50592015282287,35.47133997914446,34.52220907257008,2
4646,34.49968773219294,35.46466161848957,34.51607706461241,2
4647,35.14539016378079,36.05586638307644,35.13717384962569,2
4648,35.16801373008998,36.07705662667196,35.15832184752397,2
4649,35.15488978188985,36.06344525004175,35.14606826554395,2
4650,35.17382790089229,36.082889020779604,35.16440277332033,2
4651,35.18147727894806,36.08921917744215,35.17145718383854,2
4652,27.956330600003415,28.813782611643077,28.073891776312408,2
4653,27.90483915828225,28.748480659879323,28.021422791114894,2
4654,27.898701236735512,28.74060880401518,28.015487643052555,2
4655,27.858170428204442,28.69491111749176,27.975854773734685,2
4656,27.8314657894034,28.664184944050195,27.948523531095834,2
4657,28.950942901751393,29.703994097172846,29.036358214228553,7
4658,28.959216383825456,29.71160555584451,29.044579207493296,7
4659,28.959155701680825,29.71167738507194,29.04469754718715,7
4660,28.960533984062817,29.71327587092607,29.046021842126255,7
