Sample,red,green,blue,black,Material,Predicted_Label
2021_Sep_01_SR-3501_SN19387Q4__01011.sed,47.03667801700405,34.14733132718936,31.12886464135923,86.46521015199363,6.0,6
2199,50.319644012581314,36.82780111222232,33.90480683082743,99.4545448402266,2.0,2
1286,59.36798331450777,43.20211179720802,39.004867868486286,114.14987731512086,9.0,9
2021_Aug_31_SR-3501_SN19387Q4__00767.sed,58.27432889142607,42.32837356324775,38.21671885584041,111.34067820365412,3.0,3
5055,58.09979280078485,42.31162588323276,38.329555112866686,112.0738085612734,9.0,9
1265,45.93437178972974,33.112217440452625,29.88107809885025,87.05947642710251,8.0,8
3625,55.13273213908328,39.99681856615849,35.98354660379407,104.5269343299327,8.0,8
591,49.18385949051245,35.32030795011838,31.32071080369205,93.11309765472244,7.0,7
2021_Sep_01_SR-3501_SN19387Q4__00663.sed,57.76474396721337,41.91343263958477,37.76711590495775,110.12863277538352,5.0,5
1963,57.37980493377752,41.6373255578341,37.4162606680279,109.5177384234926,7.0,7
2021_Sep_01_SR-3501_SN19387Q4__00848.sed,48.19313462726531,34.237269527746605,30.04797143788109,87.50935829996178,6.0,6
2021_Aug_31_SR-3501_SN19387Q4__00652.sed,58.91520821267096,42.79854643744662,38.64976611260378,112.80562037833944,3.0,3
2021_Aug_30_SR-3501_SN19387Q4__00173.sed,52.42639122462319,37.79670957162851,33.8351593440436,97.4661283217781,1.0,1
2508,57.481301161515546,41.77239811415398,37.63432530338628,110.15222543915108,2.0,2
4951,57.12772953750102,41.66511511965992,37.85269146807677,110.2177258705948,2.0,2
2021_Aug_31_SR-3501_SN19387Q4__00252.sed,41.86300299317598,30.868103271155007,28.62932130529425,80.28042253719646,2.0,2
5131,59.12837444795434,43.03539533866652,38.86921576939065,113.70612843444526,9.0,9
1369,49.47638048670045,36.18700042506422,33.52649745658712,96.38495257787687,8.0,8
1439,58.63947303909012,42.68552237403687,38.61621038364778,112.70390380845956,7.0,7
2291,48.8214339998188,35.40943887000563,31.823853362769714,93.33765576988527,7.0,7
1202,58.84590445009251,42.7681604462236,38.52526289988343,112.7485940348067,7.0,7
2021_Aug_31_SR-3501_SN19387Q4__00798.sed,58.85437600060338,42.68371484076873,38.55988420397934,112.49096814987136,3.0,3
570,53.72718520589102,39.0940613323449,35.44651081459067,104.63268785427296,9.0,9
3736,29.38467148575993,20.63289150964687,17.72329149712936,52.57789753702141,8.0,8
2021_Sep_01_SR-3501_SN19387Q4__00077.sed,59.65356251329926,43.42067702976966,39.20623205396484,114.7707791410127,4.0,4
3848,57.21798210071239,41.53751521621257,37.35854380371941,109.05525885784822,2.0,2
2021_Aug_31_SR-3501_SN19387Q4__00331.sed,56.03352104880173,40.44727468441047,36.85781278744251,105.65236773058304,2.0,2
3057,59.557675401385055,43.35453038812895,39.17001763525533,114.62006033829738,9.0,9
4454,58.20622225462925,42.30344480188985,38.11518562052244,111.3794020966788,2.0,2
2021_Aug_30_SR-3501_SN19387Q4__00264.sed,40.702000253360566,29.37403329886798,26.15074555391676,73.91400071524967,1.0,1
3513,56.21985803527092,40.904582712696254,36.956726338230105,108.131174446509,9.0,9
1876,48.84816533106376,35.34500832145972,31.57343211925111,91.21640690842604,8.0,8
5345,55.64466283880793,40.4166015930848,36.41559818810566,106.06509977200234,8.0,8
2877,58.27235298342271,42.40401344558103,38.3569911513737,111.96512110217328,7.0,7
2940,57.966021019589725,42.247329098154665,38.31336864978925,111.59817146051338,2.0,2
2021_Sep_01_SR-3501_SN19387Q4__00083.sed,59.65394870487879,43.41956367114862,39.20470674785763,114.7613421552358,4.0,4
