Wavelength(nm),QE(%)
610.2507985330652,55.82633264664911
613.2630427067313,56.01799767264226
615.0538270436532,56.691215603783675
616.4616112622737,57.39914415369982
616.9584762806105,58.02547615751194
617.2483142079735,58.485730793877764
618.1178279900628,59.02414529305642
618.6975038447888,59.59757541077523
619.277179699515,60.16320599692071
620.7263693363303,60.722583794041164
624.2044244646871,60.7235710765188
625.6536141015024,60.20401367266299
626.2332899562286,59.65821100961003
626.8129658109547,59.04221256239716
627.1028037383178,58.54702458103099
627.5085768366262,58.02067138278744
628.26215544777,57.53341457065828
628.0882526913522,57.03809495162842
628.9384439449504,56.461170950919325
629.5181197996767,55.76587726604435
630.2910209393115,55.09663686877365
630.986631964983,54.480671330976705
631.9334358610356,53.92717334950083
633.0927875704879,53.36853601423861
634.6799952679522,52.81373419304624
